stayd_in_hosp
dc_date
disch_temp
disch_resp_rate
disch_heart_rate
disch_oxysat_taken
disch_oxysat
disch_airway
disch_breathing___0
disch_breathing___1
disch_breathing___2
disch_breathing___3
disch_breathing___4
disch_breathing___5
disch_breathing___6
disch_breathing___7
disch_breathing___8
disch_breathing___9
disch_breathing___10
disch_cap_refill
disch_cold_periphs
disch_avpu
disch_fontanelle
disch_tone
disch_posture
disch_activity
disch_sunk_eyes
disch_skin_pinch
disch_bfeed
disch_abdom_cond___1
disch_abdom_cond___2
disch_abdom_cond___3
disch_abdom_cond___4
disch_abdom_cond___5
disch_abdom_cond___88
disch_ricket_signs___0
disch_ricket_signs___1
disch_ricket_signs___2
disch_ricket_signs___3
disch_ricket_signs___4
disch_ricket_signs___5
disch_jaundice
disch_heent___1
disch_heent___2
disch_heent___3
disch_heent___4
disch_heent___5
disch_heent___6
disch_heent___7
disch_heent___8
disch_heent___9
disch_heent___10
disch_heent___11
disch_heent___12
disch_skin_rash___1
disch_skin_rash___2
disch_skin_rash___3
disch_skin_rash___4
disch_skin_rash___5
disch_skin_rash___6
disch_skin_rash___7
disch_skin_rash___8
disch_skin_rash___9
disch_skin_rash___10
disch_skin_rash___11
disch_skin_rash___12
disch_rash_site___1
disch_rash_site___2
disch_rash_site___3
disch_rash_site___7
disch_rash_site___4
disch_rash_site___5
disch_rash_site___6
disch_rash_site___77
disch_nutri_prog
disch_curr_bfeed

disch_relact_input
disch_relact_success
disch_bfeed_counsel
disch_relac_followup
disch_nutri_counsel
disch_exclubfeed_yes
disch_bfeed_suff
disch_refer_treatmnt
disch_refer_socsupp
disch_death_likelihood
disch_resp_diag___1
disch_resp_diag___2
disch_resp_diag___3
disch_resp_diag___4
disch_resp_diag___5
disch_resp_diag___6
disch_gen_diag___1
disch_gen_diag___2
disch_gen_diag___3
disch_gen_diag___4
disch_gen_diag___5
disch_gen_diag___6
disch_gen_diag___7
disch_infec_diag___1
disch_infec_diag___2
disch_infec_diag___3
disch_infec_diag___4
disch_infec_diag___5
disch_infec_diag___6
disch_infec_diag___7
disch_infec_diag___8
disch_infec_diag___9
disch_infec_diag___10
disch_infec_diag___11
disch_infec_diag___12
disch_cns_diag___1
disch_cns_diag___2
disch_cns_diag___3
disch_cns_diag___4
disch_cns_diag___5
disch_cns_diag___6
disch_cns_diag___7
disch_cns_diag___8
haemoglobin_disch
rbc_disch
wbc_disch
platelets_disch
neutrophils_disch
lymphocytes_disch
osinophils_disch
monocytes_disch
basophils_disch
edta_disch

sodium_disch
potassium_disch
calcium_disch
alt_disch
alk_phosphate_disch

urea_disch
creatinine_disch
bilirubin_disch
i_phosphate_disch
magnesium_disch
albumin_disch
calcium_disch_adj
disch_head_circ2
disch_oedema
disch_muac
discharge_age
disch_haz
disch_waz
disch_whz
adm_sex
africa
urban
hiv_class
site
prev_hosp_cat
abnormal_birth
chron_neuro
any_sickle_cell_disease
any_thalassaemia
any_chronic
wieght_change
TB_risk_cummulative
admission_length
change_plts
change_lymph
change_hb
change_muac
change_weight
disch_againstadvice 
disch_absconded
disch_early 
disch_unexpectded 
disch_toreferral 
